0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,

Node A running in test, with test running for 2 minutes, messages generated twice per second



1,21.53.53,3.064,3,35940, 23358, 824, 24325, 16446, 41263,
1,21.54.47,57.378,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

1,21.54.48,57.89,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

1,21.54.48,58.402,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

1,21.54.49,58.914,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

1,21.54.49,59.425,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 54642, 7135, 59416, 44977, 31669, 2624,

1,21.54.49,59.863,1,RTSAntiEntropy,Starting to send RTS...

1,21.54.49,59.87,2,sendRTS,1,2,1,

1,21.54.52,62.031,1,RTSAntiEntropy,CTS recieved - sending data frames

1,21.54.52,62.078,1,RTSSendDataFrames,Need to sync data! Starting to send

1,21.54.52,62.09,2,RTSSendDataFrames,1,2,3,

1,21.54.52,62.203,2,RTSSendDataFrames,1,2,3,

1,21.54.52,62.315,2,RTSSendDataFrames,1,2,3,

1,21.54.52,62.427,2,RTSSendDataFrames,1,2,3,

1,21.54.52,62.54,2,RTSSendDataFrames,1,2,3,

1,21.54.52,62.652,2,RTSSendDataFrames,1,2,3,

1,21.54.58,68.733,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 7135, 59416, 44977, 31669, 2624, 28000,

1,21.54.58,68.74,2,sendHello,1,,0,

1,21.54.59,69.259,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 59416, 44977, 31669, 2624, 28000,

1,21.54.59,69.771,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 44124, 59416, 31669, 2624, 28000,

1,21.55.0,70.282,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 59416, 19930, 31669, 2624, 28000,

1,21.55.0,70.794,3,5083, 2224, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 59416, 19930, 31669, 2624, 28000,

1,21.55.1,71.306,3,5083, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 59416, 19930, 2624, 28000,

1,21.55.1,71.818,3,5083, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 27655, 59416, 19930, 2624, 28000,

1,21.55.2,72.33,3,5083, 7808, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 59416, 19930, 2624, 28000,

1,21.55.2,72.841,3,5083, 7808, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 59416, 19930, 2624, 28000,

1,21.55.3,73.353,3,5083, 7808, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 59416, 19930, 2624, 28000,

1,21.55.3,73.865,3,5083, 7808, 2224, 17543, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 36473, 59416, 19930, 2624, 28000,

1,21.55.4,74.376,3,5083, 7808, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 59416, 19930, 2624, 28000,

1,21.55.4,74.788,1,RTSAntiEntropy,Starting to send RTS...

1,21.55.4,74.794,2,sendRTS,1,2,1,

1,21.55.7,76.956,1,RTSAntiEntropy,CTS recieved - sending data frames

1,21.55.7,76.98,1,RTSSendDataFrames,Need to sync data! Starting to send

1,21.55.7,76.993,2,RTSSendDataFrames,1,2,3,

1,21.55.7,77.105,2,RTSSendDataFrames,1,2,3,

1,21.55.7,77.217,2,RTSSendDataFrames,1,2,3,

1,21.55.13,83.281,3,5083, 7808, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 30368, 59416, 19930, 2624, 28000,

1,21.55.13,83.288,2,sendHello,1,,0,

1,21.55.13,83.807,3,5083, 7808, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 11608, 10427, 59416, 19930, 2624, 28000,

1,21.55.14,84.319,3,5083, 7808, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 50677, 25481, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

1,21.55.14,84.831,3,5083, 7808, 27083, 2224, 17543, 1598, 41263, 64389, 38342, 824, 23358, 35940, 29536, 32498, 10857, 29499, 22736, 16446, 51189, 10861, 24325, 12270, 25481, 33202, 10427, 59416, 19930, 34776, 2624, 28000,

