6,17.25.52,86.468,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.474,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.48,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.486,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.492,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.586,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.592,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.598,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.604,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.611,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.52,86.617,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.708,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.714,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.72,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.727,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.733,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.739,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.833,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.53,86.84,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.58,92.415,6,True
6,17.25.58,92.42,3,1419, 697, 3362, 1213, 1084, 1275, 1176, 2396, 2735, 249
6,17.25.58,92.432,3,1419, 697, 3362, 1213, 1084, 1275, 1176, 2396, 2735, 249
6,17.25.58,92.651,3,1419, 697, 3362, 1213, 1084, 1275, 1176, 2396, 2735, 249
6,17.25.58,92.662,2,sendRTS,6,9,1
6,17.25.59,93.104,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.201,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.207,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.213,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.219,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.225,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.231,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.327,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.332,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.338,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.344,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.35,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.446,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.453,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.458,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.464,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.47,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.476,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.563,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.569,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.575,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.581,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.587,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.593,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.683,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.25.59,93.69,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.0,93.696,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.0,93.701,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.0,93.706,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.0,93.712,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.7,101.585,6,True
6,17.26.7,101.589,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.7,101.605,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.7,101.619,2,sendHello,6,,0
6,17.26.8,101.742,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.8,101.889,3,697, 1275, 3316, 1176, 344, 1312, 1213, 3576, 1419, 2066, 3621, 249, 724, 3362, 1084, 2735, 2396
6,17.26.8,101.993,2,sendRTS,6,8,1
6,17.26.8,102.337,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.343,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.349,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.355,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.361,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.454,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.46,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.467,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.473,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.479,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.485,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.581,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.26.8,102.588,4,RTSAntiEntropy,That strange error where  we can't decode a message
