0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
9,17.26.12,86.859,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.13,87.613,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.13,87.853,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.14,88.115,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.14,88.266,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.15,89.016,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.15,89.304,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.16,89.95,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.16,90.129,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.16,90.543,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.17,90.958,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.17,91.606,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.17,91.784,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.18,91.992,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.18,92.438,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.18,92.613,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.18,92.819,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.19,93.026,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.19,93.779,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.20,94.423,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.20,94.694,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.20,94.901,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.21,95.108,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.21,95.522,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.21,95.729,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.22,95.934,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.22,96.58,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.23,97.332,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.24,97.978,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.24,98.623,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.25,99.242,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.25,99.656,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.25,99.863,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.26,100.08,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.26,100.276,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.26,100.922,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.27,101.737,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.28,101.959,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.28,102.165,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.28,102.372,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.28,102.786,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.28,102.81,2,sendHello,9,,0
9,17.26.29,102.942,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.29,103.588,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.30,104.233,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.31,104.987,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.31,105.635,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.32,106.28,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.32,106.588,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.32,106.631,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.33,107.044,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.33,107.691,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
9,17.26.34,107.942,3,1275, 3316, 3621, 1312, 344, 1176, 3576, 1213, 1419, 2066, 724, 697, 249, 3362, 1084, 2735, 2396
